"(Linked) Lifecycle_Profile","(Linked) Lifecycle_Stage","ai_recommendations","bigq_score","bigq_why","created_at","privacy"
"owner@riverbendhardware.com","1772310813976x886933535573839700","","3","I’m not planning to sell, but I know I need better documentation in case something unexpected happens.","Feb 28, 2026 11:57 pm","PRIVATE"
"contact@maplestreetbakery.com","1772310834611x936345282110342000","","7","It depends on the right offer. I’m open if it makes sense for my family.","Mar 1, 2026 12:14 am","PRIVATE"
"contact@maplestreetbakery.com","1772310866717x829775562345005400","","","","Mar 1, 2026 12:18 am","PUBLIC"
"info@heartlandautoservice.com","1772310721342x205610653087564560","","2","No interest in selling right now. We’re focused on expansion.","Mar 1, 2026 12:24 am","PRIVATE"
"info@heartlandautoservice.com","1772310813976x886933535573839700","","","","Mar 1, 2026 12:25 am","PUBLIC"
"","1772310834611x936345282110342000","","6","Retirement is on the horizon, but nothing formal yet.","Mar 1, 2026 12:26 am","PRIVATE"
"admin@prairieviewdental.com","1772310866717x829775562345005400","","","","Mar 1, 2026 12:28 am","PUBLIC"
"office@summitridgebuild.com","1772310813976x886933535573839700","","4","It’s not something I’m actively considering, but I’d evaluate the right opportunity.","Mar 1, 2026 12:29 am","PRIVATE"
"pharmacist@cornerstonepharmacy.com","1772310834611x936345282110342000","","8","Healthcare regulations are increasing. I’m considering transition within a few years.","Mar 1, 2026 12:32 am","PRIVATE"
"pharmacist@cornerstonepharmacy.com","1772310866717x829775562345005400","","","","Mar 1, 2026 12:36 am","PUBLIC"
"sales@lakesideoutdoor.com","1772310834611x936345282110342000","","5","I’m undecided. It would depend heavily on buyer fit and continuity.","Mar 1, 2026 12:37 am","PRIVATE"
"support@heritageinsurancegroup.com","1772310721342x205610653087564560","","1","Not interested in selling at this stage.","Mar 1, 2026 12:39 am","PRIVATE"
"team@evergreenlandscape.com","1772310834611x936345282110342000","","6","Physically demanding work — I’m thinking about long-term succession.","Mar 1, 2026 12:40 am","PRIVATE"
"care@northcountyvets.com","1772310866717x829775562345005400","","9","I’m ready to transition ownership soon if we can ensure staff continuity.","Mar 1, 2026 12:41 am","PRIVATE"
"hello@bluehorizontech.com","1772310721342x205610653087564560","","2","We’re reinvesting heavily right now and focused on expansion. Transition isn’t on the radar, but I know documentation will matter long-term.","Mar 1, 2026 12:56 am",""
